_entities_1	_entities_2	_entities_3
1007000371	-27	ENVO:00000370
1007000372	-27	ENVO:00000371
1007000373	-27	ENVO:00000372
1007000374	-27	ENVO:00000373
1007000378	-27	ENVO:01000252
1007000379	-27	ENVO:00000378
1007000380	-27	ENVO:00000380
1007000381	-27	ENVO:00000381
1007000382	-27	ENVO:00000382
1007000383	-27	ENVO:00000383
1007000384	-27	ENVO:00000384
1007000385	-27	ENVO:00000385
1007000386	-27	ENVO:00000386
1007000387	-27	ENVO:00000387
1007000389	-27	ENVO:00000389
1007000390	-27	ENVO:00000390
1007000392	-27	ENVO:00000392
1007000394	-27	ENVO:00000394
1007000395	-27	ENVO:00002150
1007000396	-27	ENVO:00000396
1007000397	-27	ENVO:00000397
1007000398	-27	ENVO:00000398
1007000399	-27	ENVO:00000399
1007000400	-27	ENVO:00000400
1007000401	-27	ENVO:00000401
1007000402	-27	ENVO:00000402
1007000404	-27	ENVO:00000404
1007000406	-27	ENVO:00000406
1007000407	-27	ENVO:00000407
1007000408	-27	ENVO:00000408
1007000410	-27	ENVO:00000410
1007000412	-27	ENVO:00000412
1007000413	-27	ENVO:00000413
1007000415	-27	ENVO:00000415
1007000416	-27	ENVO:00000416
1007000417	-27	ENVO:00000417
1007000418	-27	ENVO:00000418
1007000420	-27	ENVO:00000420
1007000422	-27	ENVO:00000422
1007000423	-27	ENVO:00000423
1007000425	-27	ENVO:00000425
1007000426	-27	ENVO:01000024
1007000429	-27	ENVO:00000429
1007000431	-27	ENVO:00000431
1007000432	-27	ENVO:00000432
1007000433	-27	ENVO:00000433
1007000434	-27	ENVO:00000434
1007000435	-27	ENVO:00000435
1007000436	-27	ENVO:00000436
1007000439	-27	ENVO:00000439
1007000440	-27	ENVO:00000440
1007000442	-27	ENVO:00000442
1007000444	-27	ENVO:00000444
1007000446	-27	ENVO:00000446
1007000447	-27	ENVO:00000447
1007000450	-27	ENVO:00000450
1007000451	-27	ENVO:00000451
1007000452	-27	ENVO:00000452
1007000453	-27	ENVO:00000453
1007000454	-27	ENVO:00000454
1007000455	-27	ENVO:00000455
1007000456	-27	ENVO:00000456
1007000458	-27	ENVO:00000458
1007000459	-27	ENVO:00000459
1007000460	-27	ENVO:00000460
1007000461	-27	ENVO:00000461
1007000462	-27	ENVO:00000462
1007000463	-27	ENVO:00000463
1007000464	-27	ENVO:00000464
1007000465	-27	ENVO:00000465
1007000470	-27	ENVO:00000470
1007000472	-27	ENVO:00000472
1007000473	-27	ENVO:00000473
1007000475	-27	ENVO:00000475
1007000476	-27	ENVO:00000476
1007000477	-27	ENVO:00000083
1007000483	-27	ENVO:00000483
1007000484	-27	ENVO:00000484
1007000485	-27	ENVO:00000485
1007000486	-27	ENVO:00000486
1007000487	-27	ENVO:00000487
1007000488	-27	ENVO:00000488
1007000489	-27	ENVO:00000489
1007000490	-27	ENVO:00000490
1007000491	-27	ENVO:00000491
1007000492	-27	ENVO:00000492
1007000493	-27	ENVO:00000493
1007000494	-27	ENVO:00000494
1007000495	-27	ENVO:00000495
1007000496	-27	ENVO:00000496
1007000497	-27	ENVO:00000497
1007000498	-27	ENVO:00000498
1007000500	-27	ENVO:00000500
1007000502	-27	ENVO:00000502
1007000503	-27	ENVO:00000503
1007000504	-27	ENVO:00000504
1007000505	-27	ENVO:00000505
1007000506	-27	ENVO:00000506
1007000507	-27	ENVO:00000507
1007000508	-27	ENVO:00000508
1007000511	-27	ENVO:00000511
1007000512	-27	ENVO:00000512
1007000513	-27	ENVO:00000513
1007000515	-27	ENVO:00000515
1007000516	-27	ENVO:00000516
1007000517	-27	ENVO:00000517
1007000520	-27	ENVO:00000520
1007000521	-27	ENVO:00000521
1007000522	-27	ENVO:00000522
1007000525	-27	ENVO:00000525
1007000527	-27	ENVO:00000527
1007000528	-27	ENVO:00000528
1007000529	-27	ENVO:00000529
1007000531	-27	ENVO:00000531
1007000532	-27	ENVO:00000532
1007000534	-27	ENVO:00000534
1007000535	-27	ENVO:00000535
1007000536	-27	ENVO:00000536
1007000537	-27	ENVO:00000537
1007000540	-27	ENVO:00000540
1007000541	-27	ENVO:00000541
1007000542	-27	ENVO:00000542
1007000544	-27	ENVO:00000544
1007000545	-27	ENVO:00000545
1007000546	-27	ENVO:00000546
1007000548	-27	ENVO:00000548
1007000549	-27	ENVO:00000549
1007000550	-27	ENVO:01000342
1007000551	-27	ENVO:00000551
1007000567	-27	ENVO:00000567
1007000568	-27	ENVO:00000568
1007000569	-27	ENVO:00000447
1007000570	-27	ENVO:01000322
1007000571	-27	ENVO:00000571
1007000572	-27	ENVO:00000572
1007000573	-27	ENVO:00000856
1007000574	-27	ENVO:00000873
1007000587	-27	ENVO:00000886
1007000588	-27	ENVO:00000887
1007000589	-27	ENVO:00000888
1007000590	-27	ENVO:00000889
1007000591	-27	ENVO:00000890
1007000592	-27	ENVO:00000891
1007000593	-27	ENVO:00000892
1007000594	-27	ENVO:00000893
1007000600	-27	ENVO:00001995
1007000602	-27	ENVO:00001997
1007000603	-27	ENVO:00001998
1007000604	-27	ENVO:00001999
1007000612	-27	ENVO:00002007
1007000613	-27	ENVO:00002008
1007000614	-27	ENVO:00000446
1007000615	-27	ENVO:00002010
1007000616	-27	ENVO:00000873
1007000617	-27	ENVO:00002012
1007000618	-27	ENVO:00002013
1007000619	-27	ENVO:00002014
1007000620	-27	ENVO:00002015
1007000622	-27	ENVO:00002017
1007000624	-27	ENVO:00002019
1007000625	-27	ENVO:00002020
1007000626	-27	ENVO:00002021
1007000627	-27	ENVO:00002022
1007000629	-27	ENVO:00002024
1007000630	-27	ENVO:00002025
1007000632	-27	ENVO:00002027
1007000635	-27	ENVO:00002030
1007000636	-27	ENVO:00002031
1007000638	-27	ENVO:00002033
1007000639	-27	ENVO:00002034
1007000642	-27	ENVO:00000873
1007000645	-27	ENVO:00002040
1007000647	-27	ENVO:00002042
1007000650	-27	ENVO:00002045
1007000651	-27	ENVO:00002046
1007000653	-27	ENVO:00002048
1007000655	-27	ENVO:00002050
1007000658	-27	ENVO:00002053
1007000659	-27	ENVO:00002054
1007000668	-27	ENVO:00002063
1007000670	-27	ENVO:00002113
1007000675	-27	ENVO:00002118
1007000676	-27	ENVO:00002119
1007000677	-27	ENVO:00002120
1007000678	-27	ENVO:00002121
1007000679	-27	ENVO:00002122
1007000684	-27	ENVO:00002127
1007000685	-27	ENVO:00002128
1007000687	-27	ENVO:00002130
1007000688	-27	ENVO:00002131
1007000689	-27	ENVO:00002132
1007000690	-27	ENVO:00002133
1007000691	-27	ENVO:00002134
1007000693	-27	ENVO:00002136
1007000694	-27	ENVO:00002137
1007000695	-27	ENVO:00002138
1007000697	-27	ENVO:00002140
1007000699	-27	ENVO:00002142
1007000700	-27	ENVO:00002143
1007000701	-27	ENVO:00002144
1007000705	-27	ENVO:00002148
1007000714	-27	ENVO:00002157
1007000717	-27	ENVO:00002160
1007000727	-27	ENVO:00002170
1007000736	-27	ENVO:00002179
1007000738	-27	ENVO:00002181
1007000741	-27	ENVO:00002184
1007000748	-27	ENVO:00002191
1007000749	-27	ENVO:00002192
1007000755	-27	ENVO:00002198
1007000756	-27	ENVO:00002199
1007000757	-27	ENVO:00002200
1007000765	-27	ENVO:00002209
1007000768	-27	ENVO:00002212
1007000779	-27	ENVO:00002223
1007000780	-27	ENVO:00002224
1007000781	-27	ENVO:00002225
1007000782	-27	ENVO:00002226
1007000784	-27	ENVO:00002228
1007000785	-27	ENVO:00002229
1007000786	-27	ENVO:00002230
1007000787	-27	ENVO:00002231
1007000789	-27	ENVO:00002233
1007000791	-27	ENVO:00002235
1007000792	-27	ENVO:00002236
1007000793	-27	ENVO:00002237
1007000794	-27	ENVO:00002238
1007000795	-27	ENVO:00002239
1007000796	-27	ENVO:00002240
1007000797	-27	ENVO:00002241
1007000798	-27	ENVO:00002242
1007000799	-27	ENVO:00002243
1007000800	-27	ENVO:00002244
1007000801	-27	ENVO:00002245
1007000802	-27	ENVO:00002246
1007000803	-27	ENVO:00002247
1007000804	-27	ENVO:00002248
1007000805	-27	ENVO:00002249
1007000806	-27	ENVO:00002250
1007000807	-27	ENVO:00002251
1007000808	-27	ENVO:00002252
1007000809	-27	ENVO:00002253
1007000810	-27	ENVO:00002254
1007000811	-27	ENVO:00002255
1007000812	-27	ENVO:00002256
1007000813	-27	ENVO:00002257
1007000814	-27	ENVO:00002258
1007000816	-27	ENVO:00002260
1007000817	-27	ENVO:00002261
1007000818	-27	ENVO:00002262
1007000824	-27	ENVO:00002268
1007000825	-27	ENVO:00002269
1007000826	-27	ENVO:00002270
1007000829	-27	ENVO:00002273
1007000830	-27	ENVO:00002274
1007000831	-27	ENVO:00002275
1007000832	-27	ENVO:00002276
1007000837	-27	ENVO:00002870
1007000838	-27	ENVO:00002871
1007000839	-27	ENVO:00002872
1007000840	-27	ENVO:00002873
1007000841	-27	ENVO:00002874
1007000843	-27	ENVO:00002926
1007000844	-27	ENVO:00002982
1007000893	-27	ENVO:00003031
1007000894	-27	ENVO:00003032
1007000900	-27	ENVO:00003041
1007000930	-27	ENVO:00003071
1007000934	-27	ENVO:00003075
1007000941	-27	ENVO:00003082
1007000942	-27	ENVO:00003083
1007000944	-27	ENVO:00003085
1007000945	-27	ENVO:00003086
1007000947	-27	ENVO:00003088
1007000949	-27	ENVO:00003090
