_names_1	_names_2
1007000089	seaside cliffses
1007000090	crag
1007000090	ENVO:00000089
1007000090	inland cliff
1007000090	inland cliffs
1007000091	coast plain
1007000091	coast plains
1007000091	coastal plain
1007000091	coastal plains
1007000091	ENVO:01000687
1007000091	plain, coast
1007000091	sea shore
1007000091	sea shores
1007000092	beach
1007000092	beach berm
1007000092	beach berms
1007000092	beaches
1007000092	beacheses
1007000092	beachic
1007000092	ENVO:00000091
1007000092	foreshore flats
1007000092	foreshore flatses
1007000092	foreshore flatsic
1007000092	lagoon beach
1007000092	lagoon beaches
1007000092	lagoon beachic
1007000093	ENVO:00000092
1007000093	sea beach
1007000093	sea beaches
1007000093	sea beachic
1007000094	ENVO:00000093
1007000094	lacustrine beach
1007000094	lacustrine beaches
1007000094	lacustrine beachic
1007000096	ENVO:00000095
1007000096	lava area
1007000096	lava areal
1007000096	lava areas
1007000096	lava field
1007000096	lava fields
1007000096	lava flow
1007000096	lava flows
1007000096	lava plain
1007000096	lava plains
1007000097	caldera
1007000097	calderal
1007000097	calderas
1007000097	ENVO:00000096
1007000098	desert
1007000098	ENVO:01000179
1007000101	chasm
1007000101	chasmic
1007000101	chasms
1007000101	coulee
1007000101	coulees
1007000101	dale
1007000101	ENVO:00000100
1007000101	glacial gorge
1007000101	glacial gorges
1007000101	glacial trough
1007000101	glacial troughs
1007000101	glen
1007000101	gorge
1007000101	gorges
1007000101	gulch
1007000101	gulches
1007000101	gullies
1007000101	gullies
1007000101	gully
1007000101	lavaka
1007000101	lavakal
1007000101	lavakas
1007000101	median valley
1007000101	median valleys
1007000101	ravine
1007000101	ravines
1007000101	shelf valley
1007000101	shelf valleys
1007000101	strath
1007000101	strathic
1007000101	straths
1007000101	vale
1007000101	valley
1007000101	valleys
1007000101	valleyses
1007000102	bay delta
1007000102	bay deltal
1007000102	bay deltas
1007000102	delta
1007000102	deltal
1007000102	deltas
1007000102	ENVO:00000101
1007000102	fan delta
1007000102	fan deltal
1007000102	fan deltas
1007000102	outwash
1007000102	outwashes
1007000102	outwashic
1007000103	cave entrance
1007000103	cave entrances
1007000103	ENVO:00000102
1007000105	ENVO:00000447
1007000105	shelf edge
1007000105	shelf edges
1007000105	subsea feature
1007000105	subsea features
1007000105	undersea bank
1007000105	undersea bankic
1007000105	undersea banks
1007000105	undersea basin
1007000105	undersea basins
1007000105	undersea bench
1007000105	undersea benches
1007000105	undersea cliff
1007000105	undersea cliffs
1007000105	undersea fan
1007000105	undersea fanic
1007000105	undersea fans
1007000105	undersea feature
1007000105	undersea features
1007000105	undersea fork
1007000105	undersea forks
1007000105	undersea fracture
1007000105	undersea fracture zone
1007000105	undersea fractures
1007000105	undersea furrow
1007000105	undersea furrows
1007000105	undersea gap
1007000105	undersea gapic
1007000105	undersea gaps
1007000105	undersea holar
1007000105	undersea hole
1007000105	undersea holes
1007000105	undersea ledge
1007000105	undersea ledges
1007000105	undersea levee
1007000105	undersea levees
1007000105	undersea median valley
1007000105	undersea median valleys
1007000105	undersea moat
1007000105	undersea moatic
1007000105	undersea moats
1007000105	undersea peak
1007000105	undersea peakic
1007000105	undersea peaks
1007000105	undersea pinnaclar
1007000105	undersea pinnacle
1007000105	undersea pinnacles
1007000105	undersea plain
1007000105	undersea plains
1007000105	undersea platform
1007000105	undersea platforms
1007000105	undersea ramp
1007000105	undersea rampic
1007000105	undersea ramps
1007000105	undersea rise
1007000105	undersea rises
1007000105	undersea saddlar
1007000105	undersea saddle
1007000105	undersea saddles
1007000105	undersea shelf
1007000105	undersea shelf edge
1007000105	undersea shelf edges
1007000105	undersea shelf valley
1007000105	undersea shelf valleys
1007000105	undersea shelfs
1007000105	undersea sill
1007000105	undersea sills
1007000105	undersea slope
1007000105	undersea slopes
1007000105	undersea spur
1007000105	undersea spurs
1007000105	undersea terrace
1007000105	undersea terraces
1007000105	undersea tongue
1007000105	undersea tongues
1007000105	undersea valley
1007000105	undersea valleys
1007000106	ENVO:00000105
1007000106	lake surface
1007000106	lake surfaces
1007000107	downland
1007000107	downlandic
1007000107	downlands
1007000107	downs
1007000107	downses
1007000107	ENVO:01000177
1007000107	grassland
1007000107	grasslandic
1007000107	grasslands
1007000108	ENVO:00000107
1007000108	heath
1007000108	heathic
1007000108	heathland
1007000108	heathlandic
1007000108	heathlands
1007000108	heaths
1007000109	ENVO:00000108
1007000109	hay meadow
1007000109	hay meadows
1007000109	meadow
1007000109	meadows
1007000110	brigalow
1007000110	brigalows
1007000110	ENVO:01000175
1007000110	garique
1007000110	gariques
1007000110	junglar
1007000110	mott
1007000110	motte
1007000110	mottes
1007000110	mulga
1007000110	mulgal
1007000110	mulgas
1007000110	silva
1007000110	silval
1007000110	silvas
1007000110	taiga
1007000110	taigal
1007000110	taigas
1007000110	thicket
1007000110	thickets
1007000110	wooded area
1007000110	wooded areal
1007000110	wooded areas
1007000110	woodland
1007000110	woodland biome
1007000110	woodlandic
1007000110	woodlands
1007000111	ENVO:00000110
1007000111	lava tunnel
1007000111	lava tunnels
1007000112	copse
1007000112	copses
1007000112	ENVO:01000174
1007000112	equatorial forest
1007000112	equatorial forests
1007000112	forest
1007000112	forest reserve
1007000112	forest reserves
1007000112	forests
1007000112	grove
1007000112	groves
1007000112	reforested area
1007000112	reforested areal
1007000112	reforested areas
1007000112	thorn forest
1007000112	thorn forests
1007000113	Arctic land
1007000113	Arctic landic
1007000113	Arctic lands
1007000113	ENVO:01000180
1007000113	tundra
1007000113	TundraEcosystem
1007000113	TundraEcosystems
1007000113	tundral
1007000113	tundras
	
	
1007000116	ENVO:00000115
1007000116	orchard
1007000116	orchardic
1007000116	orchards
1007000119	coconut grove
1007000119	coconut groves
1007000119	coconut plantation
1007000119	coconut plantational
1007000119	coconut plantations
1007000119	ENVO:00000118
1007000120	ENVO:00000119
1007000120	planted forest
1007000120	planted forests
1007000121	ENVO:00000120
1007000121	palm grove
1007000121	palm groves
1007000126	ENVO:00000125
1007000126	mineral spring
1007000126	mineral springs
1007000127	ENVO:00000126
1007000127	sulfur spring
1007000127	sulfur springs
1007000127	sulphur spring
1007000127	sulphur springs
1007000129	dry valley
1007000129	dry valleys
1007000129	ENVO:00000128
1007000130	ENVO:00000129
1007000130	stream valley
1007000130	stream valleys
1007000131	bank reef
1007000131	bank reefs
1007000131	ENVO:00000130
1007000131	reef
1007000131	reef flat
1007000131	reef flatic
1007000131	reef flats
1007000131	reef-associated
1007000131	reef-associateds
1007000131	reefs
1007000131	reefses
1007000131	shore reef
1007000131	shore reefs
1007000131	submerged reef
1007000131	submerged reefs
1007000133	Arctic pack
1007000133	Arctic packic
1007000133	Arctic packs
1007000133	bay ice
1007000133	bay ices
1007000133	continental glacier
1007000133	continental glaciers
1007000133	continental ice
1007000133	continental ices
1007000133	ENVO:01000277
1007000133	Ice
1007000133	ICE FIELD
1007000133	ICE FIELDs
1007000133	ice sheet
1007000133	ice sheets
1007000133	island ice
1007000133	island ices
1007000133	LandIce
1007000133	LandIces
1007000133	pack ice
1007000133	pack ices
1007000133	polar ice
1007000133	polar ice pack
1007000133	polar ice packic
1007000133	polar ice packs
1007000133	polar ices
1007000133	shelf ice
1007000133	shelf ices
1007000134	ENVO:00000133
1007000134	glacial feature
1007000134	glacial features
1007000134	glacial landform
1007000134	glacial landforms
1007000134	glacier
1007000134	glacier feature
1007000134	glacier features
1007000134	glaciers
1007000134	ice field
1007000134	ice fields
1007000134	rock glacier
1007000134	rock glaciers
1007000134	RockGlacier
1007000134	RockGlaciers
1007000138	coastal inlet
1007000138	ENVO:00000137
1007000139	cove
1007000139	ENVO:00000138
1007000140	ENVO:00000139
1007000140	irrigation ditch
1007000140	irrigation ditches
1007000141	ENVO:00000140
1007000141	rhyne
1007000141	rhynes
1007000141	rhynous
1007000143	ENVO:00000142
